AbsoluteURL,promotionpackages,promotionbrands
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/05/17/11297560-636306106619157074-a28e60.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/02/11917517-636372516252252592-5a1ed4.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/21/11308133-636388982989951846-bee2f1.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/21/11277059-636389183936593983-090a89.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/26/11983650-636393408840724134-9a1127.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/30/11291688-636396767092371648-bd1b05.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/30/11290123-636396863372523496-a319ad.jpg," 0.5 L Plastic Btl 6pk X 4 | 16 OZ Glass Btl 6pk X 4 | 2 L Plastic Btl LS 8 | 64 OZ Plastic Btl LS 8"," 7UP | Big Red | Dr Pepper | Snapple | Squirt"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/31/11276356-636397768837605027-b063fe.jpg," 0.5 L Plastic Btl 6pk X 4 | 16 OZ Glass Btl 6pk X 4 | 2 L Plastic Btl LS 8 | 64 OZ Plastic Btl LS 8"," 7UP | Big Red | Dr Pepper | Snapple | Squirt"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/08/31/11346020-636397781415903373-7e47df.jpg," 0.5 L Plastic Btl 6pk X 4 | 16 OZ Glass Btl 6pk X 4 | 2 L Plastic Btl LS 8 | 64 OZ Plastic Btl LS 8"," 7UP | Big Red | Dr Pepper | Snapple | Squirt"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/04/11308132-636401660535378593-188795.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/05/11296209-636402289220763575-a7a2d7.jpg," 0.5 L Plastic Btl 6pk X 4 | 12 OZ Plastic Btl 8pk X 3"," 7UP | A&W | Canada Dry | Squirt | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/07/11341795-636404038528044496-ffb886.jpg," 0.5 L Plastic Btl 6pk X 4 | 12 OZ Plastic Btl 8pk X 3"," 7UP | A&W | Canada Dry | Squirt | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/14/11247335-636409811201668828-f5747f.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/15/12287812-636410533853296835-e0269d.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/15/12287782-636410583592867905-e1eab7.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/15/12287803-636410601638750388-8fc867.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/18/12287804-636413221598940124-ea6816.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/19/12287788-636414092678785900-49eb6d.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/20/12304774-636414958089401545-b9a9c0.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/20/11300808-636414970543711114-b73547.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Squirt | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/22/11241399-636416735769034161-a39cf9.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sundrop | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/25/11325535-636419298679728437-91a47e.jpg," 0.5 L Plastic Btl 6pk X 4 | 7.5OZ/222ml Alum Can 8pk X 3"," 7UP | A&W | Canada Dry | Sundrop | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/25/11262343-636419383984646115-ebc3b7.jpg," 0.5 L Plastic Btl 6pk X 4"," 7UP | A&W | Canada Dry | Sunkist"
https://dpsappmerchandiser.blob.core.windows.net/displaybuild/2017/09/25/11310587-636419407192088150-b8776a.jpg," 0.5 L Plastic Btl 6pk X 4 | 12 OZ Alum Can 12pk X 2 | 12 OZ Alum Can 8pk X 3"," 7UP | Big Red | Dr Pepper"
